YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2011,BAN,283,9,4,IND,LOST,DHAKA,INDIA
,BAN,205,10,10,IRE,WON,DHAKA,
,BAN,58,10,1,WI,LOST,DHAKA,
,BAN,227,8,10,ENG,WON,CHATTOGRAM,
,BAN,166,4,10,NED,WON,CHATTOGRAM,
,BAN,78,10,8,SA,LOST,DHAKA,
,,,,,,,,
,IND,370,4,9,BAN,WON,DHAKA,
,IND,338,10,8,ENG,TIE,BENGALURU,
,IND,210,5,10,IRE,WON,BENGALURU,
,IND,191,10,5,NED,WON,DELHI,
,IND,296,10,7,SA,LOST,NAGPUR,
,IND,268,10,10,WI,WON,CHENNAI,
,IND,267,5,6,AUS,WON,AHMEDABAD,
,IND,260,9,10,PAK,WON,MOHALI,
,IND,277,4,6,SL,WON,MUMBAI,
,,,,,,,,
,NZ,72,0,10,KEN,WON,CHENNAI,
,NZ,206,10,3,AUS,LOST,NAGPUR,
,NZ,166,0,10,ZIM,WON,AHMEDABAD,
,NZ,302,7,10,PAK,WON,PALLEKALE,
,NZ,358,6,9,CAN,WON,MUMBAI,
,NZ,153,10,9,SL,LOST,MUMBAI,
,NZ,221,8,10,SA,WON,DHAKA,
,NZ,217,10,5,NZ,LOST,COLOMBO,
,,,,,,,,
,PAK,317,7,10,KEN,WON,HAMBANTOTA,
,PAK,277,7,9,SL,WON,COLOMBO,
,PAK,184,10,10,CAN,WON,COLOMBO,
,PAK,192,10,7,NZ,LOST,PALLEKALE,
,PAK,164,3,7,ZIM,WON,PALLEKALE,
,PAK,178,6,10,AUS,WON,COLOMBO,
,PAK,113,0,10,WI,WON,DHAKA,
,PAK,231,10,9,IND,WON,MOHALI,
,,,,,,,,
,KEN,69,10,0,NZ,LOST,CHENNAI,
,KEN,112,10,7,PAK,LOST,HAMBANTOTA,
,KEN,142,10,1,SL,LOST,COLOMBO,
,KEN,198,10,5,CAN,LOST,DELHI,
,KEN,264,6,6,AUS,LOST,BENGALURU,
,KEN,147,10,6,ZIM,LOST,KOLKATA,
,,,,,,,,
,SL,332,7,10,CAN,WON,HAMBANTOTA,
,SL,266,9,7,PAK,LOST,COLOMBO,
,SL,146,1,10,KEN,WON,COLOMBO,
,SL,NR,NR,NR,AUS,NR,COLOMBO,
,SL,327,6,10,ZIM,WON,PALLEKALE,
,SL,265,9,10,NZ,WON,MUMBAI,
,SL,231,0,6,ENG,WON,COLOMBO,
,SL,220,5,10,NZ,WON,COLOMBO,
,SL,274,6,4,IND,LOST,MUMBAI,
,,,,,,,,
,CAN,122,10,7,SL,LOST,HAMBANTOTA,
,CAN,123,10,9,ZIM,LOST,NAGPUR,
,CAN,138,10,10,PAK,LOST,COLOMBO,
,CAN,199,5,10,KEN,WON,DELHI,
,CAN,261,9,6,NZ,LOST,MUMBAI,
,CAN,211,10,3,AUS,LOST,BENGALURU,
,,,,,,,,
,AUS,262,6,10,ZIM,WON,AHMEDABAD,
,AUS,207,3,10,NZ,WON,NAGPUR,
,AUS,NR,NR,NR,SL,NR,COLOMBO,
,AUS,324,6,6,KEN,WON,BENGALURU,
,AUS,212,3,10,CAN,WON,BENGALURU,
,AUS,176,10,6,PAK,LOST,COLOMBO,
,AUS,260,6,5,IND,LOST,AHMEDABAD,
,,,,,,,,
,ZIM,171,10,6,AUS,LOST,AHMEDABAD,
,ZIM,298,9,10,CAN,WON,NAGPUR,
,ZIM,162,10,0,NZ,LOST,AHMEDABAD,
,ZIM,188,10,6,SL,LOST,PALLEKALE,
,ZIM,151,7,3,PAK,LOST,PALLEKALE,
,ZIM,308,6,10,KEN,WON,KOLKATA,
,,,,,,,,
,ENG,296,4,6,NED,WON,NAGPUR,
,ENG,338,9,10,IND,TIE,BENGALURU,
,ENG,327,8,7,IRE,LOST,BENGALURU,
,ENG,171,10,10,SA,WON,CHENNAI,
,ENG,225,10,8,BAN,LOST,CHATTOGRAM,
,ENG,243,10,10,WI,WON,CHENNAI,
,ENG,229,6,0,SL,LOST,COLOMBO,
,,,,,,,,
,NED,292,6,4,ENG,LOST,NAGPUR,
,NED,115,10,8,WI,LOST,DELHI,
,NED,120,10,5,SA,LOST,MOHALI,
,NED,189,10,5,IND,LOST,DELHI,
,NED,160,10,4,BAN,LOST,CHATTOGRAM,
,NED,306,10,4,IRE,LOST,KOLKATA,
,,,,,,,,
,SA,223,3,10,WI,WON,DELHI,
,SA,351,5,10,NED,WON,MOHALI,
,SA,165,10,10,ENG,LOST,CHENNAI,
,SA,300,7,10,IND,LOST,NAGPUR,
,SA,272,7,10,IRE,LOST,KOLKATA,
,SA,284,8,10,BAN,LOST,DHAKA,
,SA,172,10,8,NZ,WON,DHAKA,
,,,,,,,,
,WI,222,10,3,SA,LOST,DELHI,
,WI,330,8,10,NED,WON,DELHI,
,WI,59,1,10,BAN,WON,DHAKA,
,WI,275,10,10,IRE,WON,MOHALI,
,WI,225,10,10,ENG,LOST,CHENNAI,
,WI,188,10,10,IND,LOST,CHENNAI,
,WI,112,10,0,PAK,LOST,DHAKA,
,,,,,,,,
,IRE,178,10,10,BAN,LOST,DHAKA,
,IRE,329,7,8,ENG,WON,BENGALURU,
,IRE,207,10,5,IND,LOST,BENGALURU,
,IRE,231,10,10,WI,LOST,MOHALI,
,IRE,141,10,7,SA,LOST,KOLKATA,
,IRE,307,4,10,NED,WON,KOLKATA,
